BU_CODE,LE,CH_CODE,LC_CODE,DEPT,BR_CODE,PL_CODE,CUSTOMER,SKU,INVORG,ACCOUNT,Sep,Oct,Nov,Dec,Jan,Feb
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B612,PL321,CG_SPAIN ALL OTHER,S2021178,IO663,GrossUnits,5.741968823,3.923417415,11.16663952,21.04763145,12.7740402,7.157130351
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B612,PL323,CG_SPAIN ALL OTHER,S2028160,IO663,GrossUnits,,,,4.137931035,,0.314233031
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B612,PL320,CG_SPAIN ALL OTHER,S1402104,IO663,GrossUnits,50,,50,50,50,50
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B612,PL320,CG_SPAIN ALL OTHER,S1401769,IO663,GrossUnits,207.5049994,207.5049994,207.5049994,103.7524997,311.2574991,311.2574991
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B612,PL313,CG_SPAIN ALL OTHER,S1860347,IO663,GrossUnits,24.49261993,48.98523985,20.41051661,40.82103321,20.41051661,51.02629151
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B628,PL348,CG_SPAIN ALL OTHER,S1948341,IO663,GrossUnits,50.24271845,50.24271845,25.12135922,25.12135922,,
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B628,PL302,CG_SPAIN ALL OTHER,S1948306,IO663,GrossUnits,105.8823529,105.8823529,158.8235294,220.5882353,105.8823529,105.8823529
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B628,PL302,CG_SPAIN ALL OTHER,S1955138,IO663,GrossUnits,55.37310648,156.4736815,25.72170107,129.6802429,205.7736086,62.16077759
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B628,PL347,CG_SPAIN ALL OTHER,S1927440,IO663,GrossUnits,25.18348624,,,,,
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B628,PL347,CG_SPAIN ALL OTHER,S1927441,IO663,GrossUnits,26.64652568,,,,,
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B628,PL342,CG_SPAIN ALL OTHER,S1866332,IO663,GrossUnits,62.37248616,62.37248616,62.37248616,62.37248616,31.18624308,31.18624308
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B628,PL342,CG_SPAIN ALL OTHER,S1948378,IO663,GrossUnits,76.78922257,255.9640752,255.9640752,255.9640752,191.9730564,191.9730564
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B617,PL331,CG_CEE ALL OTHER,S1633311,IO663,GrossUnits,,0.344304513,0.319155535,0.364821834,0.322332385,
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B617,PL330,CG_CEE ALL OTHER,S1633337,IO663,GrossUnits,0.469565217,0.391304348,2.426086957,0.156521739,1.017391304,0.313043478
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B617,PL330,CG_CEE ALL OTHER,S1633338,IO663,GrossUnits,0.4,0.5,1.65,0.15,0.9,0.05
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B617,PL330,CG_CEE ALL OTHER,S1835565,IO663,GrossUnits,0.7,0.7,0.9,0.7,0.9,0.7
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B617,PL333,CG_CEE ALL OTHER,S1846448,IO663,GrossUnits,,0.0979,0.257206905,0.498467838,0.491584113,
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B612,PL322,CG_CEE ALL OTHER,S1400858,IO663,GrossUnits,41.30424868,79.24892739,123.2718743,98.89138818,123.8062257,51.33821731
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B612,PL321,CG_CEE ALL OTHER,S1400327,IO663,GrossUnits,550.4480042,,,,,
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B612,PL321,CG_CEE ALL OTHER,S1563856,IO663,GrossUnits,1695.937555,2440.372156,2690.955092,866.9583533,4422.422294,1994.704422
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B612,PL321,CG_CEE ALL OTHER,S1948252,IO663,GrossUnits,,,,,19.45525292,19.45525292
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B612,PL323,CG_CEE ALL OTHER,S1833317,IO663,GrossUnits,331.3680454,344.520934,351.6154927,,407.4603567,248.6176315
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B612,PL390,CG_CEE ALL OTHER,S1852312,IO663,GrossUnits,,9.889993563,11.28020873,5.486271007,10.75587187,11.58262606
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B612,PL390,CG_CEE ALL OTHER,S1846584,IO663,GrossUnits,,50.8024502,70.04843093,38.74459788,73.27118123,57.39488498
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B612,PL390,CG_CEE ALL OTHER,S1952135,IO663,GrossUnits,112.4851556,112.4851556,112.4851556,37.49505186,112.4851556,149.9802074
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B612,PL390,CG_CEE ALL OTHER,S1994438,IO663,GrossUnits,,28.76042476,143.8173748,36.55683266,119.8478123,95.87824984
