sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time	fulfillment-channel
UT49057-1-FBM	17.54					
UT49049-1-FBM	9.57					
UT49033-1-FBM	14.41					
UT49072-1-FBM	16.97					
UT77329-1-FBM	11.71					
UT49059-1-FBM	15.3					
UT77325-1-FBM	11.98					
UT49045-1-FBM	8.14					
UT49062-1-FBM	19.07					
UT77328-1-FBM	11.71					
UT49039-1-FBM	16.5					
UT49034-1-FBM	19.29					
UT49054-1-FBM	16.5					
UT49035-1-FBM	19.29					
UT63411-1-FBM	17.67					
UT49032-1-FBM	16.97					
UT91296-1-FBM	12.05					
UT91296-1-V1-FBM	12.05					
UT91296-5-FBM	38.9					
UT91296-4-FBM	33.25					
UT49056-1-FBM	19.29					
UT49043-1-FBM	9.31					
UT96401-1-FBM	15.7					
UT65276-1-FBM	21.02					
UT14706-1-FBM	15.5					
UT14708-1-FBM	9.63					
UT14708-2-FBM	17.03					
UT22710-1-FBM	15.5					
UT14707-1-FBM	15.5					
UT96402-1-FBM	16.5					
UT14709-2-FBM	17.03					
UT65277-2-FBM	22.08					
UT28232-2-FBM	17.76					
UT28232-6-FBM	47.61					
UT28232-3-FBM	24.72					
UT28232-1-FBM	10.92					
UT65252-1-FBM	10.92					
UT65252-2-FBM	17.76					
UT65252-3-FBM	24.72					
UT65252-6-FBM	47.61					
UT65253-2-FBM	17.76					
UT65253-6-FBM	47.61					
UT65253-3-FBM	24.72					
UT65208-1-FBM	8.36					
UT65208-3-V2-FBM	17.26					
UT65208-3-V1-FBM	17.26					
UT65208-3-FBM	17.26					
UT65208-2-FBM	13.02					
UT65208-6-FBM	29.98					
UT65218-1-FBM	8.36					
UT65218-1-V1-FBM	8.36					
UT65218-3-FBM	17.26					
UT65218-2-FBM	13.02					
UT65218-6-FBM	29.98					
UT65218-4-FBM	21.5					
UT65218-5-FBM	25.74					
UT65218-7-FBM	34.22					
UT65218-8-FBM	38.46					
UT65279-2-FBM	22.08					
UT49055-1-FBM	19.29					
UT28233-6-FBM	47.61					
UT28233-2-FBM	17.76					
UT28233-3-FBM	24.72					
UT28233-1-FBM	10.92					
UT65255-1-FBM	10.92					
UT96403-1-FBM	16.03					
UT65204-1-FBM	8.36					
UT65204-1-V1-FBM	8.36					
UT65204-1-V2-FBM	8.36					
UT65204-3-FBM	17.26					
UT65204-2-FBM	13.02					
UT65204-6-FBM	29.98					
UT65204-5-FBM	25.74					
UT49038-1-FBM	16.5					
UT65207-1-FBM	8.36					
UT65207-3-FBM	17.26					
UT65207-2-FBM	13.02					
UT65207-6-FBM	29.98					
UT65207-5-FBM	25.74					
UT65207-8-FBM	38.46					
UT49036-1-FBM	17.3					
UT65202-1-FBM	8.36					
